,id,title,original_language,release_date,vote_average,popularity,adult
0,238,The Godfather,en,1972-03-14,8.7,114.574,False
1,278,The Shawshank Redemption,en,1994-09-23,8.7,91.998,False
2,240,The Godfather Part II,en,1974-12-20,8.6,61.49,False
3,19404,Dilwale Dulhania Le Jayenge,hi,1995-10-20,8.6,28.989,False
4,424,Schindler's List,en,1993-12-15,8.6,43.764,False
5,569094,Spider-Man: Across the Spider-Verse,en,2023-05-31,8.6,1586.317,False
6,389,12 Angry Men,en,1957-04-10,8.5,37.808,False
7,129,Spirited Away,ja,2001-07-20,8.5,72.546,False
8,372058,Your Name.,ja,2016-08-26,8.5,83.288,False
9,496243,Parasite,ko,2019-05-30,8.5,62.319,False
10,497,The Green Mile,en,1999-12-10,8.5,66.633,False
11,155,The Dark Knight,en,2008-07-14,8.5,92.305,False
12,772071,Cuando Sea Joven,es,2022-09-14,8.5,18.721,False
13,680,Pulp Fiction,en,1994-09-10,8.5,64.962,False
14,13,Forrest Gump,en,1994-06-23,8.5,63.376,False
15,429,"The Good, the Bad and the Ugly",it,1966-12-23,8.5,55.566,False
16,122,The Lord of the Rings: The Return of the King,en,2003-12-01,8.5,75.83,False
17,704264,Primal: Tales of Savagery,en,2019-11-21,8.5,16.109,False
18,769,GoodFellas,en,1990-09-12,8.5,45.908,False
19,11216,Cinema Paradiso,it,1988-11-17,8.5,31.799,False
20,346,Seven Samurai,ja,1954-04-26,8.5,26.436,False
21,696374,Gabriel's Inferno,en,2020-05-29,8.5,20.108,False
22,637,Life Is Beautiful,it,1997-12-20,8.5,37.286,False
23,12477,Grave of the Fireflies,ja,1988-04-16,8.5,0.6,False
24,995133,"The Boy, the Mole, the Fox and the Horse",en,2022-12-25,8.5,18.708,False
25,539,Psycho,en,1960-06-22,8.4,51.723,False
26,372754,Dou kyu sei – Classmates,ja,2016-02-20,8.4,16.14,False
27,311,Once Upon a Time in America,en,1984-05-23,8.4,33.891,False
28,620249,The Legend of Hei,zh,2019-08-27,8.4,11.869,False
29,724089,Gabriel's Inferno: Part II,en,2020-07-31,8.4,30.198,False
30,667257,Impossible Things,es,2021-06-17,8.4,10.116,False
31,550,Fight Club,en,1999-10-15,8.4,76.405,False
32,761053,Gabriel's Inferno: Part III,en,2020-11-19,8.4,38.293,False
33,598,City of God,pt,2002-08-30,8.4,35.447,False
34,510,One Flew Over the Cuckoo's Nest,en,1975-11-19,8.4,46.101,False
35,14537,Harakiri,ja,1962-09-15,8.4,26.726,False
36,820067,The Quintessential Quintuplets Movie,ja,2022-05-20,8.4,95.199,False
37,157336,Interstellar,en,2014-11-05,8.4,129.212,False
38,4935,Howl's Moving Castle,ja,2004-09-09,8.4,79.682,False
39,324857,Spider-Man: Into the Spider-Verse,en,2018-12-06,8.4,403.64,False
40,378064,A Silent Voice: The Movie,ja,2016-09-17,8.4,49.557,False
41,120,The Lord of the Rings: The Fellowship of the Ring,en,2001-12-18,8.4,86.448,False
42,1891,The Empire Strikes Back,en,1980-05-20,8.4,29.267,False
43,255709,Hope,ko,2013-10-02,8.4,19.594,False
44,40096,A Dog's Will,pt,2000-09-15,8.4,8.62,False
45,92321,Hotarubi no Mori e,ja,2011-09-17,8.4,0.6,False
46,423,The Pianist,en,2002-09-17,8.4,41.267,False
